Time,Temperature (F),Dew Point (F),Humidity (%),Wind Direction,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precipitation Hourly (in),Condition
2020-04-17 03:19:00,34,32,92,CALM,0,,29.51,0.01,Light Snow
2020-04-17 03:08:00,34,32,92,CALM,0,,29.52,0.0,Light Snow
2020-04-17 02:53:00,35,29,78,W,6,,29.53,0.0,Light Snow
2020-04-17 01:53:00,40,21,47,SSW,5,,29.54,0.0,Light Snow
2020-04-17 00:53:00,42,18,38,SW,7,,29.57,0.0,Cloudy
2020-04-16 23:53:00,42,18,38,SSW,5,,29.55,0.0,Cloudy
2020-04-16 22:53:00,42,16,35,WSW,3,,29.57,0.0,Cloudy
2020-04-16 21:53:00,42,17,37,W,5,,29.58,0.0,Cloudy
2020-04-16 20:53:00,43,17,35,WSW,9,,29.6,0.0,Cloudy
2020-04-16 19:53:00,43,16,34,WSW,12,,29.57,0.0,Cloudy
2020-04-16 18:53:00,44,15,31,WSW,10,,29.56,0.0,Cloudy
2020-04-16 17:53:00,44,15,31,WSW,13,,29.56,0.0,Cloudy
2020-04-16 16:53:00,45,15,30,WNW,9,,29.56,0.0,Cloudy
2020-04-16 15:53:00,46,16,30,W,10,20.0,29.57,0.0,Mostly Cloudy
2020-04-16 14:53:00,45,17,33,W,9,22.0,29.6,0.0,Mostly Cloudy
2020-04-16 13:53:00,44,16,32,WSW,13,23.0,29.63,0.0,Mostly Cloudy
2020-04-16 12:53:00,42,15,34,WSW,14,22.0,29.65,0.0,Partly Cloudy
2020-04-16 11:53:00,40,14,35,WSW,15,23.0,29.67,0.0,Partly Cloudy
2020-04-16 10:53:00,38,13,36,W,9,,29.67,0.0,Fair
2020-04-16 09:53:00,36,12,37,WNW,10,,29.67,0.0,Fair
2020-04-16 08:53:00,34,12,40,W,10,,29.66,0.0,Fair
2020-04-16 07:53:00,32,13,45,WNW,9,,29.65,0.0,Fair
2020-04-16 06:53:00,29,13,51,WNW,6,,29.62,0.0,Fair
2020-04-16 05:53:00,29,13,51,NW,7,,29.59,0.0,Fair
2020-04-16 04:53:00,30,14,51,NNW,8,,29.57,0.0,Fair
2020-04-16 03:53:00,31,15,52,NW,9,,29.56,0.0,Fair
2020-04-16 02:53:00,32,15,50,W,7,,29.53,0.0,Mostly Cloudy
2020-04-16 01:53:00,33,15,48,WNW,7,,29.53,0.0,Mostly Cloudy
2020-04-16 00:53:00,33,15,48,W,7,,29.53,0.0,Partly Cloudy
